"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","getAllWorkshops_returnsAll","Workshop API Test Suite","Sun Jun 15 21:37:13 GMT 2025","passed","Sun Jun 15 21:37:13 GMT 2025","com.app.service.WorkshopServiceTest","API Tests","com.app.service.WorkshopServiceTest","getAllWorkshops_returnsAll"
"","2736","givenDeleteWorkshopRequest_whenAdminAuthenticated_thenReturn200","Workshop API Test Suite","Sun Jun 15 21:37:07 GMT 2025","failed","Sun Jun 15 21:37:10 GMT 2025","com.app.controller.WorkshopControllerTestV1","API Tests","com.app.controller.WorkshopControllerTestV1","givenDeleteWorkshopRequest_whenAdminAuthenticated_thenReturn200"
"","297","givenInValidRegistrationRequest_whenUserAuthenticated_thenReturn400","Workshop API Test Suite","Sun Jun 15 21:37:11 GMT 2025","passed","Sun Jun 15 21:37:11 GMT 2025","com.app.controller.RegistrationControllerTestV1","API Tests","com.app.controller.RegistrationControllerTestV1","givenInValidRegistrationRequest_whenUserAuthenticated_thenReturn400"
"","11","updateWorkshop_success","Workshop API Test Suite","Sun Jun 15 21:37:13 GMT 2025","failed","Sun Jun 15 21:37:13 GMT 2025","com.app.service.WorkshopServiceTest","API Tests","com.app.service.WorkshopServiceTest","updateWorkshop_success"
"","292","givenAdminAuth_whenGetRegistrations_thenReturn200","Workshop API Test Suite","Sun Jun 15 21:37:11 GMT 2025","passed","Sun Jun 15 21:37:11 GMT 2025","com.app.controller.RegistrationControllerTestV1","API Tests","com.app.controller.RegistrationControllerTestV1","givenAdminAuth_whenGetRegistrations_thenReturn200"
"","428","givenDuplicateWorkshopCode_whenCreateWorkshop_thenReturn400","Workshop API Test Suite","Sun Jun 15 21:37:10 GMT 2025","passed","Sun Jun 15 21:37:10 GMT 2025","com.app.controller.WorkshopControllerTestV1","API Tests","com.app.controller.WorkshopControllerTestV1","givenDuplicateWorkshopCode_whenCreateWorkshop_thenReturn400"
"","25","createWorkshop_success","Workshop API Test Suite","Sun Jun 15 21:37:13 GMT 2025","broken","Sun Jun 15 21:37:13 GMT 2025","com.app.service.WorkshopServiceTest","API Tests","com.app.service.WorkshopServiceTest","createWorkshop_success"
"","352","givenDuplicateRegistrationRequest_whenUserAuthenticated_thenReturn400","Workshop API Test Suite","Sun Jun 15 21:37:11 GMT 2025","failed","Sun Jun 15 21:37:11 GMT 2025","com.app.controller.RegistrationControllerTestV1","API Tests","com.app.controller.RegistrationControllerTestV1","givenDuplicateRegistrationRequest_whenUserAuthenticated_thenReturn400"
"","193","givenInvalidWorkshopCode_whenGetRegistration_thenReturn400","Workshop API Test Suite","Sun Jun 15 21:37:11 GMT 2025","passed","Sun Jun 15 21:37:11 GMT 2025","com.app.controller.RegistrationControllerTestV1","API Tests","com.app.controller.RegistrationControllerTestV1","givenInvalidWorkshopCode_whenGetRegistration_thenReturn400"
"","2","getWorkshopByCode_notFound","Workshop API Test Suite","Sun Jun 15 21:37:13 GMT 2025","passed","Sun Jun 15 21:37:13 GMT 2025","com.app.service.WorkshopServiceTest","API Tests","com.app.service.WorkshopServiceTest","getWorkshopByCode_notFound"
"","309","givenInvalidWorkshopCode_whenGetWorkshop_thenReturn400","Workshop API Test Suite","Sun Jun 15 21:37:10 GMT 2025","failed","Sun Jun 15 21:37:10 GMT 2025","com.app.controller.WorkshopControllerTestV1","API Tests","com.app.controller.WorkshopControllerTestV1","givenInvalidWorkshopCode_whenGetWorkshop_thenReturn400"
"","1","updateWorkshop_notFound","Workshop API Test Suite","Sun Jun 15 21:37:13 GMT 2025","passed","Sun Jun 15 21:37:13 GMT 2025","com.app.service.WorkshopServiceTest","API Tests","com.app.service.WorkshopServiceTest","updateWorkshop_notFound"
"","247","givenGetUserRegistrationRequest_whenUserAuthenticated_thenReturn200","Workshop API Test Suite","Sun Jun 15 21:37:11 GMT 2025","passed","Sun Jun 15 21:37:11 GMT 2025","com.app.controller.RegistrationControllerTestV1","API Tests","com.app.controller.RegistrationControllerTestV1","givenGetUserRegistrationRequest_whenUserAuthenticated_thenReturn200"
